Country 	total population	male	female	 year
Monaco	89.4	85.5	93.4	2018 est.
Mongolia	70.2	66	74.7	2018 est.
Montserrat	74.8	76.1	73.5	2018 est.
Morocco	77.3	74.2	80.5	2018 est.
Mozambique	54.1	53.3	54.9	2018 est.
Namibia	64.4	62.7	66.2	2018 est.
Nauru	67.8	63.6	71.2	2018 est.
Nepal	71.3	70.6	72	2018 est.
Netherlands	81.5	79.3	83.8	2018 est.
New Caledonia	78	74.1	82.2	2018 est.
New Zealand	81.4	79.2	83.6	2018 est.
Nicaragua	73.7	71.5	76.1	2018 est.
Niger	56.3	55	57.7	2018 est.
Nigeria	59.3	57.5	61.1	2018 est.
Niue				2017 est.
Norfolk Island				2017 est.
North Macedonia	75.9	73.8	78.2	2018 est.
Northern Mariana Islands	75.6	73.6	78.1	2018 est.
Norway	82	79.9	84.1	2018 est.
Oman	75.9	73.9	78	2018 est.
Pakistan	68.4	66.4	70.5	2018 est.
Palau	73.6	70.4	77	2018 est.
Panama	78.9	76.1	81.9	2018 est.
Papua New Guinea	67.5	65.3	69.8	2018 est.
Paraguay	77.6	74.9	80.4	2018 est.
Peru	74.2	72.1	76.4	2018 est.
Philippines	69.6	66.1	73.3	2018 est.
Pitcairn Islands				2017 est.
Poland	77.9	74.1	82	2018 est.
Portugal	80.9	77.7	84.2	2018 est.
Puerto Rico	81	77.7	84.5	2018 est.
Qatar	79	76.9	81.2	2018 est.
Romania	75.6	72.1	79.2	2018 est.
Russia	71.3	65.6	77.3	2018 est.
Rwanda	64.5	62.6	66.5	2018 est.
Saint Helena, Ascension, and Tristan da Cunha	79.8	76.8	82.9	2018 est.
Saint Kitts and Nevis	76.2	73.7	78.7	2018 est.
Saint Lucia	78.1	75.4	81	2018 est.
Saint Pierre and Miquelon	80.7	78.4	83.2	2018 est.
Saint Vincent and the Grenadines	75.8	73.7	77.9	2018 est.
Samoa	74.2	71.3	77.3	2018 est.
San Marino	83.4	80.8	86.2	2018 est.
Sao Tome and Principe	65.7	64.3	67.1	2018 est.
Saudi Arabia	75.7	74.2	77.3	2018 est.
Senegal	62.5	60.4	64.7	2018 est.
Serbia	75.9	73	79	2018 est.
Seychelles	75.2	70.7	79.8	2018 est.
Sierra Leone	59	56.4	61.7	2018 est.
Singapore	85.5	82.8	88.3	2018 est.
Sint Maarten	78.5	76.1	80.9	2018 est.
Slovakia	77.4	73.9	81.2	2018 est.
